_c0,message_id,type,type_id,org,comment,ticket_id,coords,photo,after_photo,address,district,subdistrict,province,timestamp,problem_type_abdul,status,star,count_reopen,state
985,290667,,12,กรุงเทพมหานคร,เรื่อง 2022-H8YC2Y ที่เเจ้งมาในนี้ ผ่านมาสามวัน ไม่มีการดำเนินการอะไรเลย ระบบมีปัญหา หรือ เขตป้อมปราบมีปัญหา ?,2022-HYWF2E,"['100.50691', '13.74982']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/e60157905a97d1415c79d62ce665e4130da0482b.jpg,,387 25 ซอย บ้านดอกไม้ แขวง บ้านบาตร เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100 ประเทศไทย,ป้อมปราบศัตรูพ่าย,บ้านบาตร,กรุงเทพมหานคร,2022-12-09 01:57:24.077617+00,{},inprogress,,0,กำลังดำเนินการ
998,290641,"ต้นไม้,สายไฟ",12,กรุงเทพมหานคร,ต้นไม้พันสายไฟ,2022-L6KVU3,"['100.58321', '13.75307']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/cef1ee19527c4ecf7bbc010a87d551bf6afae4ee.jpg,,337/1 เพชรบุรี แขวง บางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310 ประเทศไทย,ห้วยขวาง,บางกะปิ,กรุงเทพมหานคร,2022-12-09 01:29:29.569815+00,"{ต้นไม้,สายไฟ}",inprogress,,0,รอรับเรื่อง
1124,290405,จราจร,91,กรุงเทพมหานคร,รถติดทั้งวันทั้งคืน,2022-3BKRHA,"['100.51138', '13.61932']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/9c7ad138982921723ca8a392e1cf51779bf30d6d.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/4b812f9e5999efcaf823d7f79554071aa5867dd2.jpg,JG96+PFW ถ. ประชาอุทิศ แขวง ทุ่งครุ เขตทุ่งครุ กรุงเทพมหานคร 10140 ประเทศไทย,ทุ่งครุ,ทุ่งครุ,กรุงเทพมหานคร,2022-12-08 11:52:58.844923+00,{จราจร},finish,1,0,เสร็จสิ้น
126,292042,"ถนน,ทางเท้า",6,กรุงเทพมหานคร,แผงลอยขายของบนฟุตบาทตลอดแนวถนนอโศก คนเดินต้องลงเดินบนถนน,2022-HTDX2U,"['100.56308', '13.74713']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/04b2259e973bf62255e0894b7ea6d7ac16d97266.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/293ef7410ec49d2262d5fa4c5e3a5cedb8250b85.jpg,ห้องหมายเลข 401 เลขที่255 แขวง คลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ประเทศไทย,วัฒนา,คลองเตยเหนือ,กรุงเทพมหานคร,2022-12-11 05:36:21.534688+00,"{ถนน,ทางเท้า}",inprogress,,0,กำลังดำเนินการ
292,291772,ความสะอาด,12,กรุงเทพมหานคร,📣🔉🔊 แจ้งติดป้าย ❌ 🙅‍♀️🙅‍♂️🙅😤😠😡,,,,,,,,,,,,,,
มาเฟียพูดจาดูหมิ่นเจ้าพนักงาน ทะเลาะวิวาท เสียงดังอีกทั้ง รบกวนคนอื่น ที่อยู่ระแวกแถวนั้น,,,,,,,,,,,,,,,,,,,
"ในการจัดการปัญหาดังกล่าว🥀🎁✌️✌️👏👏👏\"",2022-9D63QU,"['100.64822', '13.80184']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/70e9ff78f24f0a0037595d527a6e628f6767fb5c.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/cdcef63e329582f6d4cfbf8b4d3944c4f511b1fc.jpg,11 6 หมู่ 9 ถนน นวมินทร์ แขวง นวมินทร์ เขต บึงกุ่ม กรุงเทพมหานคร 10240 ประเทศไทย,บึงกุ่ม,นวมินทร์,กรุงเทพมหานคร,2022-12-10 02:33:57.69655+00,{ความสะอาด},inprogress,4,0,เสร็จสิ้น,,,,,
742,291177,"แสงสว่าง,ถนน,คลอง",12,กรุงเทพมหานคร,ไฟถนนดับ ตั้งแต่ถนนคู้บอนช่วงวงแหวน จนถึงแยกตัด ถนนพระยาสุเรนทร์  ยาวมา จนถึง ถนนเลียบคลองสอง ไฟมาเริ่มติดหน้าโลตัส จุดที่ลงlocation เลยจากนั้นมา บางเสาก็ติดแค่ดวงเดียว,2022-MLPWGW,"['100.69865', '13.85956']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/2341001b76d8e24fa316d7e2a56797b87481d164.jpg,,88 260 ถนน เลียบคลองสอง แขวง บางชัน เขตคลองสามวา กรุงเทพมหานคร 10510 ประเทศไทย,คลองสามวา,บางชัน,กรุงเทพมหานคร,2022-12-09 12:38:46.175081+00,"{แสงสว่าง,ถนน,คลอง}",inprogress,,0,กำลังดำเนินการ
807,291074,,5,กรุงเทพมหานคร,ยางรถยนต์ทิ้งไว้,2022-6Q94A8,"['100.63958', '13.75601']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/e8d73b48c38e486da8e9bbd2f16000fc77377b53.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/d099e54af9a2c70d014ab766a44451696c7c4e2c.jpg,39/1 ซอย รามคำแหง 36/1 แขวง หัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,บางกะปิ,หัวหมาก,กรุงเทพมหานคร,2022-12-09 10:17:59.201537+00,{},finish,4,0,เสร็จสิ้น
871,290942,สายไฟ,12,กรุงเทพมหานคร,สายสื่อสารต่ำกว่า 5 เมตร ทำให้รถขนส่งผ่านไม่ได้,2022-EY2WWF,"['100.50687', '13.63796']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/339b9119cfcd88a5be76fe55aca99211cc5e7088.jpg,,77/4 ประชาอุทิศ แขวง ทุ่งครุ เขตทุ่งครุ กรุงเทพมหานคร 10140 ประเทศไทย,ทุ่งครุ,ทุ่งครุ,กรุงเทพมหานคร,2022-12-09 07:34:58.478156+00,{สายไฟ},inprogress,,0,รอรับเรื่อง
982,290676,,5,กรุงเทพมหานคร,การตากผ้าบนระเบียง เคยแจ้งมาแล้วกว่า 20 รอบ เขตพญาไทแก้ปัญหาไม่ได้ ขอให้ กทม. เร่งรัด และให้แนวทางการแก้ไขปัญหาด่วน,2022-AMRMAE,"['100.53824', '13.76907']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/d550cea2217830eb681953e4c09afb8a9b1b2b65.jpg,,149 ถ. พหลโยธิน แขวง สามเสนใน เขตพญาไท กรุงเทพมหานคร 10400 ประเทศไทย,พญาไท,สามเสนใน,กรุงเทพมหานคร,2022-12-09 02:07:02.234068+00,{},finish,1,0,เสร็จสิ้น
1079,290493,สายไฟ,12,กรุงเทพมหานคร,สายสื่อสาร,2022-EVVKLY,"['100.66502', '13.83603']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/612d39087b60babfe965cb2cb6be3babdfdbd4ff.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/e9283ea47531d0998109159db5b53f840b0eaf88.jpg,หมู่บ้านเปรมฤทัย 2 แขวง รามอินทรา เขตคันนายาว กรุงเทพมหานคร 10230 ประเทศไทย,คันนายาว,รามอินทรา,กรุงเทพมหานคร,2022-12-08 14:38:49.777671+00,{สายไฟ},finish,4,0,เสร็จสิ้น
และครอบครัว,,,,,,,,,,,,,,,,,,,
1135,290384,"จราจร,กีดขวาง,ความปลอดภัย,ความสะอาด,ถนน",12,กรุงเทพมหานคร,ขอให้เทศกิจสำนักงานเขตสัมพันธวงศ์ช่วยดำเนินการกับรบผู้ค้าบริเวณสี่แยกราชวงศ์ที่จอดค้าขายบริเวณทางม้าลายและเป็นพื้นที่ห้ามจอดค้าขายตามกฎหมายพรบจราจรและพรบความสงบความสะอาด 2535 สร้างความเดือดร้อนให้แก่ประชาชนผู้ใช้ทางและทางผู้ข้ามถนนอาจเกิดอุบัติเหตุเดือนตุลาคมเสียชีวิตได้,2022-EBWVQ8,"['100.50686', '13.74209']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/2c23d4ac3714b78af12d34b75f9dd59fd1ef51f9.jpg,,99-101 ถ. ราชวงศ์ แขวง จักรวรรดิ์ เขตสัมพันธวงศ์ กรุงเทพมหานคร 10100 ประเทศไทย,สัมพันธวงศ์,จักรวรรดิ,กรุงเทพมหานคร,2022-12-08 11:18:47.960188+00,"{จราจร,กีดขวาง,ความปลอดภัย,ความสะอาด,ถนน}",finish,5,1,เสร็จสิ้น
ส่งผลกระทบต่อสิ่งแวดล้อม,,,,,,,,,,,,,,,,,,,
-วางของขายบนฟุตบาแทบจะไม่มีทางเดิน รถเข็นเด็กฝรั่งเวลาเค้าพาลูกมาเที่ยวต้องลงไปเข็นบนถนน,,,,,,,,,,,,,,,,,,,
23,292229,"แสงสว่าง,ถนน",9,กรุงเทพมหานคร,ถนนมืดมาก อยากให้เพิ่มไฟส่องสว่างบริเวณถนน,2022-AU9PAD,"['100.39592', '13.71568']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/71e1720ab24dfdf2ad66ce8b4c29372390f77bf7.jpg,,1 ซอย 7 แขวง บางแคเหนือ เขตบางแค กรุงเทพมหานคร 10160 ประเทศไทย,บางแค,บางแคเหนือ,กรุงเทพมหานคร,2022-12-11 13:52:17.494296+00,"{แสงสว่าง,ถนน}",inprogress,,0,รอรับเรื่อง
ระยะเวลาปัญหา ธค 64- ปัจจุบัน,,,,,,,,,,,,,,,,,,,
691,291245,ทางเท้า,6,กรุงเทพมหานคร,ทางเท้ายุบตัวลง,2022-C3VCHU,"['100.43201', '13.71255']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/0d44c2b905ce8205d512ecd75521c87c0df80418.jpg,,PC7J+2RQ ถ. เพชรเกษม แขวง บางหว้า เขตภาษีเจริญ กรุงเทพมหานคร 10160 ประเทศไทย,ภาษีเจริญ,บางหว้า,กรุงเทพมหานคร,2022-12-09 17:28:58.006234+00,{ทางเท้า},inprogress,,0,กำลังดำเนินการ
973,290702,,6,กรุงเทพมหานคร,ขายของ,2022-3MWBFM,"['100.58467', '13.71685']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/e0886f22e183ac24f4153f840cd6593d343dd72b.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/fc691bf6a01c751fdcdc83ac1c49e4009c8681e3.jpg,19 สุขุมวิท 42 แขวง พระโขนง เขตคลองเตย กรุงเทพมหานคร 10110 ประเทศไทย,คลองเตย,พระโขนง,กรุงเทพมหานคร,2022-12-09 02:36:14.194368+00,{},finish,1,0,เสร็จสิ้น
"เบื่อมากกกก\"",2022-MRYUPR,"['100.43707', '13.73700']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/2b03b642970cc0c9591504f47b0002af7aca40b2.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/e3fc7f423a0cc1c7ad87d0a0df30ca901544309b.jpg,102/4 ถ. บางแวก แขวง บางแวก เขตภาษีเจริญ กรุงเทพมหานคร 10160 ประเทศไทย,ภาษีเจริญ,บางแวก,กรุงเทพมหานคร,2022-12-08 02:20:40.439989+00,{ป้าย},finish,5,0,เสร็จสิ้น,,,,,
1382,289875,กีดขวาง,91,กรุงเทพมหานคร,รถจอดเกะกะบนถนน,2022-3V73PT,"['100.42087', '13.71178']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/76e22f4adb7122d4e2dd8b5be35f419611ce392a.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/ce485cb2b75cb58524654fdd0acdb725dfb95275.jpg,เลขที่ 48/156-157 แขวง บางแคเหนือ เขตบางแค กรุงเทพมหานคร 10160 ประเทศไทย,บางแค,บางแคเหนือ,กรุงเทพมหานคร,2022-12-08 01:09:18.547243+00,{กีดขวาง},finish,2,0,เสร็จสิ้น
"ผู้แสดงตนมีอิทธิพลแผงลอยบนถนนข้าวสาร แสดงความป่าเถื่อนต่อเทศกิจ ขณะปฎิบัติหน้าที่\"",2022-8G2ARL,"['100.49781', '13.75864']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/3aa02cb908110a360d73639fd098d1452d4f2593.jpg,,190 ถนนข้าวสาร แขวง ตลาดยอด เขตพระนคร กรุงเทพมหานคร 10200 ประเทศไทย,พระนคร,ตลาดยอด,กรุงเทพมหานคร,2022-12-10 05:33:18.943398+00,{ถนน},report,,0,รอรับเรื่อง,,,,,
